sample_id,target,modality,official_seq_index,signed_importance,absolute_importance,mapping_status,token_id,char_start,char_end,raw_text_substring
10,regression,text,29,-0.08881057798862457,0.08881057798862457,verified_text,3492,114,120,pretty
10,regression,audio,10,0.008346476592123508,0.008346476592123508,index_only,,,,
10,regression,audio,25,0.005882658995687962,0.005882658995687962,index_only,,,,
10,regression,audio,24,0.005693902261555195,0.005693902261555195,index_only,,,,
10,regression,audio,9,0.005606972612440586,0.005606972612440586,index_only,,,,
10,regression,audio,26,0.0049252379685640335,0.0049252379685640335,index_only,,,,
10,regression,vision,29,0.00790221057832241,0.00790221057832241,index_only,,,,
10,regression,vision,30,0.007606725208461285,0.007606725208461285,index_only,,,,
10,regression,vision,28,0.007220589555799961,0.007220589555799961,index_only,,,,
10,regression,vision,27,0.006154767237603664,0.006154767237603664,index_only,,,,
10,regression,vision,15,0.005953056737780571,0.005953056737780571,index_only,,,,
11,classification,text,4,0.09990543872117996,0.09990543872117996,verified_text,14984,11,18,ashamed
11,classification,text,3,0.082394078373909,0.082394078373909,verified_text,2022,8,10,be
11,classification,text,2,0.07187367975711823,0.07187367975711823,verified_text,2052,2,7,would
11,classification,text,6,0.06547315418720245,0.06547315418720245,verified_text,2031,22,26,have
11,classification,text,13,-0.031675126403570175,0.031675126403570175,verified_text,1037,51,52,a
11,classification,audio,7,0.0031666774302721024,0.0031666774302721024,index_only,,,,
11,classification,audio,9,0.002634873380884528,0.002634873380884528,index_only,,,,
11,classification,audio,10,0.0025526261888444424,0.0025526261888444424,index_only,,,,
11,classification,audio,14,0.002411189256235957,0.002411189256235957,index_only,,,,
11,classification,audio,4,0.001829988555982709,0.001829988555982709,index_only,,,,
11,classification,vision,2,0.0057929507456719875,0.0057929507456719875,index_only,,,,
11,classification,vision,5,0.005125402472913265,0.005125402472913265,index_only,,,,
11,classification,vision,3,0.004951159935444593,0.004951159935444593,index_only,,,,
11,classification,vision,4,0.004521356895565987,0.004521356895565987,index_only,,,,
11,classification,vision,1,0.003869587555527687,0.003869587555527687,index_only,,,,
11,regression,text,4,-0.17259328067302704,0.17259328067302704,verified_text,14984,11,18,ashamed
11,regression,text,3,-0.1345718652009964,0.1345718652009964,verified_text,2022,8,10,be
11,regression,text,2,-0.10347358137369156,0.10347358137369156,verified_text,2052,2,7,would
11,regression,text,6,-0.10077840834856033,0.10077840834856033,verified_text,2031,22,26,have
11,regression,text,14,-0.06810315698385239,0.06810315698385239,verified_text,2472,53,61,director
11,regression,audio,9,-0.013505964539945126,0.013505964539945126,index_only,,,,
11,regression,audio,10,-0.010316497646272182,0.010316497646272182,index_only,,,,
11,regression,audio,6,-0.008871762081980705,0.008871762081980705,index_only,,,,
11,regression,audio,7,-0.008809201419353485,0.008809201419353485,index_only,,,,
11,regression,audio,8,-0.007842282764613628,0.007842282764613628,index_only,,,,
11,regression,vision,2,-0.01683788187801838,0.01683788187801838,index_only,,,,
11,regression,vision,5,-0.014092937111854553,0.014092937111854553,index_only,,,,
11,regression,vision,3,-0.012318737804889679,0.012318737804889679,index_only,,,,
11,regression,vision,4,-0.01219731941819191,0.01219731941819191,index_only,,,,
11,regression,vision,1,-0.011479213833808899,0.011479213833808899,index_only,,,,
12,classification,text,41,0.05137087404727936,0.05137087404727936,verified_text,2659,182,185,low
12,classification,text,23,0.03832056745886803,0.03832056745886803,verified_text,6346,104,109,fault
12,classification,text,33,0.03289761766791344,0.03289761766791344,verified_text,7842,151,153,sa
12,classification,text,34,0.032651081681251526,0.032651081681251526,verified_text,2290,153,154,g
12,classification,text,26,0.027994845062494278,0.027994845062494278,verified_text,2219,119,122,own
12,classification,audio,23,-0.0014449359150603414,0.0014449359150603414,index_only,,,,
12,classification,audio,32,-0.001306877820752561,0.001306877820752561,index_only,,,,
12,classification,audio,21,-0.0012990717077627778,0.0012990717077627778,index_only,,,,
12,classification,audio,16,-0.001287685940042138,0.001287685940042138,index_only,,,,
